C00000059|08312017|40|44|2868
C00000059|09302017|30|62|3318
C00000422|09012017|263|2|526
C00000422|09062017|83|276|22369
C00000422|09082017|250|3|850
C00000422|09092017|500|1|500
C00000422|09102017|500|1|500
C00000422|09112017|83|6|581
C00000422|09152017|100|1|100
C00000422|09192017|500|1|500
C00000422|09222017|500|7|3750
C00000422|09292017|500|8|6526
C00000729|08312017|500|5|3250
C00000729|09012017|250|1|250
C00000729|09062017|250|1|250
C00000729|09102017|250|1|250
C00000729|09112017|1000|1|1000
C00000729|09142017|1000|1|1000
C00000729|09152017|250|1|250
C00000729|09182017|500|19|12500
C00000729|09192017|250|1|250
C00000729|09212017|250|3|583
C00000729|09222017|250|9|4374
C00000729|09242017|271|2|541
C00000729|09252017|250|4|1583
C00000729|09262017|250|3|541
C00000729|09272017|1000|1|1000
C00000729|09282017|175|2|350
C00000729|09292017|375|4|2000
C00000729|09302017|313|4|1875
C00000885|09012017|9|1|9
C00000885|09072017|40|189|10559
C00000885|09182017|20|21|908
C00000885|09222017|108|126|18112
C00000885|09252017|9|190|1563
C00000885|09272017|-25|1|-25
C00000901|08312017|358|2|715
C00000901|09012017|38|33|1854
C00000901|09032017|250|10|3250
C00000901|09042017|250|1|250
C00000901|09062017|50|7|320
C00000901|09072017|250|1|250
C00000901|09082017|488|20|17175
C00000901|09092017|438|4|1750
C00000901|09102017|250|3|750
C00000901|09112017|750|8|10750
C00000901|09132017|960|3|2210
C00000901|09142017|625|1|625
C00000901|09152017|38|35|2729
C00000901|09182017|1000|1|1000
C00000901|09192017|365|22|16890
C00000901|09202017|308|10|3450
C00000901|09212017|500|3|1568
C00000901|09222017|250|4|1000
C00000901|09232017|250|3|750
C00000901|09242017|250|4|1000
C00000901|09252017|175|2|350
C00000901|09262017|250|1|250
C00000901|09272017|563|8|6325
C00000901|09282017|1000|1|1000
C00000901|09292017|38|34|1868
C00000901|09302017|308|2|615
C00000935|08312017|50|324|671654
C00000984|09072017|23|6|167
C00000984|09182017|5000|1|5000
C00000984|09212017|23|6|167
C00001016|09052017|150|56|8400
C00001016|09062017|87|365|35844
C00001016|09082017|89|294|26699
C00001016|09152017|62|39|2518
C00001016|09192017|66|288|19710
C00001016|09212017|53|12|662
C00001016|09252017|60|1|60
C00001016|09262017|126|16|2215
C00001180|08312017|500|1|500
C00001198|08312017|1000|1|1000
C00001198|09022017|44|10|653
C00001198|09052017|300|2|600
C00001198|09062017|3000|2|6000
C00001198|09072017|1000|4|7250
C00001198|09082017|5000|1|5000
C00001198|09112017|1000|9|20500
C00001198|09122017|5000|3|10500
C00001198|09132017|500|1|500
C00001198|09142017|5000|3|11000
C00001198|09152017|2563|2|5125
C00001198|09162017|44|10|653
C00001198|09182017|625|2|1250
C00001198|09192017|750|5|11250
C00001198|09202017|500|1|500
C00001198|09212017|2500|3|5500
C00001198|09232017|500|1|500
C00001198|09242017|2500|1|2500
C00001198|09252017|1500|11|22000
C00001198|09262017|2500|1|2500
C00001198|09282017|500|1|500
C00001198|09302017|44|10|653
C00001305|08312017|138|2|275
C00001305|09012017|625|2|1250
C00001305|09062017|286|18|6492
C00001305|09072017|25|1|25
C00001305|09112017|250|13|3850
C00001305|09122017|286|33|13403
C00001305|09132017|250|15|4225
C00001305|09142017|250|9|2600
C00001305|09152017|225|12|3575
C00001305|09182017|250|7|1850
C00001305|09192017|446|10|4098
C00001305|09202017|350|7|2198
C00001305|09212017|202|12|7868
C00001305|09222017|1000|1|1000
C00001305|09252017|500|7|5000
C00001305|09262017|1250|2|2500
C00001305|09272017|250|5|1350
C00001305|09282017|250|6|1950
C00001305|09292017|70|2|140
C00001313|08312017|38|2|75
C00001313|09082017|250|16|5030
C00001313|09122017|100|9|6253
C00001313|09132017|200|5|1000
C00001313|09202017|92|10|1256
